title,budget,revenue,vote_average,popularity,belongs_to_collection
Ca$h,7.0,0.046488,6.0,9.107828999999999,False
Leap Year,19.0,29.922472,6.5,7.432311,False
Morning Glory,40.0,58.78518,6.1,10.771255,False
Devil,10.0,33.583175,5.8,7.094276,False
Tooth Fairy,48.0,112.462508,5.2,6.744680000000001,True
Henry's Crime,12.0,0.20494,5.8,5.145185,False
The Book of Eli,80.0,157.107755,6.6,14.39853,False
The Spy Next Door,28.0,45.236543,5.5,6.663422,False
Shikshanachya Aaicha Gho,0.38,0.52,8.0,0.043519,False
Extraordinary Measures,31.0,15.134293,6.0,6.523155,False
Nasha Russia: Yaytsa sudby,2.0,22.212223,4.6,0.9952850000000001,False
Legion,26.0,67.918658,5.2,13.795875,False
Hesher,7.0,0.382946,6.7,5.886972,False
Tucker and Dale vs Evil,5.0,5.476793,7.3,6.7718679999999996,False
Waste Land,1.5,0.187716,7.6,2.627643,False
Edge of Darkness,80.0,74.901339,6.2,9.554067,False
Percy Jackson & the Olympians: The Lightning Thief,95.0,226.497209,6.0,9.785895,True
Kandahar,7.0,15.172408,6.4,1.0110290000000002,False
Dear John,25.0,114.977104,6.6,8.371478999999999,False
From Paris with Love,52.0,52.826594,6.2,6.885592999999999,False
Valentine's Day,52.0,216.485654,5.7,7.466721000000001,False
The Ghost Writer,45.0,60.222298,6.7,6.764819999999999,False
Loose Cannons,7.0,8.220215,7.1,5.633243,False
My Name Is Khan,12.0,42.34536,7.7,11.264586,False
Boy,3e-06,4.3e-05,7.5,3.308503,False
The Robber,3.9,0.208475,6.7,1.824255,False
Centurion,12.0,6.814789,6.0,13.00941,False
Halo Legends,0.1,1.0,6.9,1.731527,False
The Illusionist,18.0,5.602431,7.2,6.971611,False
Shutter Island,80.0,294.804195,7.8,15.813629,False
"Dear Guest, When Will You Leave?",3.75,5.0,6.2,0.597058,False
Vinnaithaandi Varuvaayaa,3.0,12.0,7.7,1.036233,False
The Crazies,20.0,54.95614,6.2,10.914556,False
Cop Out,30.0,55.583804,5.3,14.313079,False
Alice in Wonderland,200.0,1025.49111,6.4,17.285093,True
What Men Talk About,1.95,12.005838,7.6,3.022666,True
How to Train Your Dragon,165.0,494.878759,7.5,14.416681,True
